"n","ndvi","X1","X2","X3","X4","X5","X6","dt","id","date","date.round","state","t.ar","rain"
4,0.376556098134091,0,0,1,0,0,0,NA,"tm13",2015-07-04 19:38:00,2015-07-04 20:00:00,"Foraging",20.2,0
1,0.374030810353129,0,0,1,0,0,0,960,"tm13",2015-07-04 19:54:00,2015-07-04 20:00:00,"Burrow",20.2,0
1,0.374030810353129,0,0,1,0,0,0,120,"tm13",2015-07-04 19:56:00,2015-07-04 20:00:00,"Burrow",20.2,0
1,0.374030810353129,0,0,1,0,0,0,360,"tm13",2015-07-04 20:02:00,2015-07-04 20:00:00,"Burrow",20.2,0
1,0.374030810353129,0,0,1,0,0,0,1320,"tm13",2015-07-04 20:24:00,2015-07-04 20:00:00,"Burrow",20.2,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:29:00,2015-07-04 20:00:00,"Burrow",20.2,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:34:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:39:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:44:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:49:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:54:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 20:59:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:04:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:09:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:14:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:19:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:24:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:29:00,2015-07-04 21:00:00,"Burrow",19.4,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:34:00,2015-07-04 22:00:00,"Burrow",18.1,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:39:00,2015-07-04 22:00:00,"Burrow",18.1,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:44:00,2015-07-04 22:00:00,"Burrow",18.1,0
1,0.374030810353129,0,0,1,0,0,0,300,"tm13",2015-07-04 21:49:00,2015-07-04 22:00:00,"Burrow",18.1,0
