"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
0.444242831710877,0.00890835976864512,0.429390518825967,0.437242292148537,0.443797854050589,0.450813409169341,0.461753337345747,0.99659828417176,300
0,0,0,0,0,0,0,1,1
-0.0344540134452318,0.0442759486166769,-0.124352858126927,-0.0647224275751436,-0.0359192901442943,-0.00278191537359434,0.0448862697488243,1.01409397673661,160
-0.190750944272455,0.0243522371510508,-0.238917047467382,-0.207346670557401,-0.189241552524726,-0.174770659222473,-0.141894417613764,1.0175013430429,110
0.155809039508031,0.0460938308281149,0.0659455008273426,0.125370775649252,0.155053703589267,0.186916874257917,0.246019871444259,1.0131255910189,220
0.0239119910655205,0.0482912195939974,-0.0616804642038574,-0.00895132291916726,0.0237008540517449,0.0554345473208725,0.120763457805349,1.01792785504226,100
-0.651644516826512,0.0490808723952429,-0.749847347704145,-0.68335238695644,-0.651145797614979,-0.617455815767724,-0.55865652704887,1.02021351957493,120
-0.0846270044509658,0.0602862034284175,-0.193770111004164,-0.128879408681577,-0.086737385080195,-0.0464515001160885,0.035252628241945,1.02805378488989,66
-0.32280183791878,0.0719356051931921,-0.463272377291225,-0.370204202751574,-0.317047212583148,-0.274963070197259,-0.193211704655078,1.00768118190145,300
-0.793017312752361,0.0767376798657873,-0.948244009830543,-0.841246773483696,-0.791537675941021,-0.739680837982276,-0.64409935063755,1.01005737505903,300
0.0650644304596837,0.0948655350305052,-0.111935539403662,-0.00418343859156349,0.0672413380594733,0.131758074172003,0.251048950954536,1.0088284672817,160
0.00514655095545496,0.0140915338637844,-0.022266741428881,-0.00449805401433888,0.00613928338923575,0.0144850655933023,0.0323466859972586,1.01629653839393,120
0.820137055026963,0.0472646584491139,0.731219779534113,0.785741689804412,0.820410315184289,0.848045453481005,0.917540759730428,1.0267645103346,82
0.702096877595122,0.0437052227035001,0.618297317996658,0.673293423611981,0.699803564157504,0.728467548693637,0.783922414192293,1.01762119490082,150
0.215713693528278,0.304804911478574,-0.401299596912465,0.00875232894102068,0.238367805696771,0.430554646095954,0.713380131206258,1.00970170797471,300
0.754532855088033,0.021908734260343,0.709995587291339,0.739640764704709,0.755228291166528,0.768342116548239,0.797638978452673,1.00250323683368,300
0.324079942105406,0.0529462060414785,0.222871540294129,0.286089052053723,0.325626461216276,0.360277993253431,0.429804908085861,1.01423555409636,120
0.0235732362816784,0.00839189154050401,0.00687589873676786,0.0182029069329293,0.0230516990950304,0.0288968917815495,0.0397147021663359,1.00361513817881,300
0.0167459856969154,0.00917206614545474,-0.000467812608679283,0.010546045226535,0.0173172249214267,0.0229818773882389,0.0332827757459018,1.00902900160216,150
33000.6227231728,5.71650232377288,32991.1880265824,32996.7281807466,32999.9539059982,33004.4898047689,33015.2221937769,1.01086573844537,140
