"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
0.26422849365904,0.00413668001936955,0.255988288249783,0.261248461801721,0.264250813748058,0.267010985440993,0.271852604426947,1.0010999858993,600
0,0,0,0,0,0,0,1,1
0.0769070822867484,0.0278753142489317,0.0225952976073061,0.0577498547905348,0.0767697189185912,0.094090542776436,0.133481509704236,1.01458242608801,210
1.13960963873072,0.033630770080435,1.0705454306057,1.11830964567715,1.13977273004182,1.16140695811042,1.20467039029564,1.03480687781506,62
0.237053448714994,0.0298539778837293,0.178843361484582,0.214200539631211,0.237425905651995,0.259172761173011,0.296424504507556,1.015915367089,130
0.691483057976484,0.0339503558070658,0.622429386146867,0.669441746671122,0.691689234534873,0.715149420208655,0.752604213612449,1.03920019567156,53
0.495269176057601,0.0349567220267827,0.416640735447177,0.472102847358379,0.496969083322889,0.518909799459203,0.557750906991151,1.01149012869498,210
0.674188782186746,0.0329492538893305,0.611806106613748,0.653118044715267,0.673067469295669,0.697215044856052,0.739985148784134,1.02240005265829,88
0.60962356359374,0.0320452015063597,0.549310104908386,0.587291449752299,0.608038620588267,0.632525485282173,0.673233787955757,1.00928963934746,190
0.531898901115164,0.0558514351220896,0.422957986775961,0.498233674667714,0.534717534419041,0.567237475243452,0.634529116364944,1.00488732657835,310
0.351340655702739,0.0585162308023053,0.241855759570042,0.31068535867414,0.351584100071133,0.389647181990178,0.463002239962355,1.00599418245855,380
-2.54487838534908,0.0221769844020846,-2.58842671156376,-2.56024106338091,-2.54393090971649,-2.53144779373503,-2.50228434287444,1.03520524813041,75
-2.55668311036437,0.341708704118669,-3.2348395276247,-2.77720028301174,-2.55748956010341,-2.30923393406137,-1.93241587063092,1.00710816411865,330
-2.655519891054,0.0230262983658888,-2.69904878251055,-2.67132879253824,-2.65529099705986,-2.64108293506552,-2.60880275655624,1.01484848068908,120
-2.61621812276159,0.44621198921355,-3.58112989221973,-2.8853269364534,-2.5731326375758,-2.30096109455137,-1.87355408836618,1.00215426093634,590
-2.89687719526137,0.0815616445351444,-3.05081820332474,-2.95549283434429,-2.8989514351709,-2.8405165270353,-2.74261765371517,1.00322657322272,430
-2.61467526708242,0.062672481672592,-2.73323301727507,-2.65849547021424,-2.61759065303635,-2.57327584748743,-2.48098862535546,1.02295296635767,89
0.0264496045480738,0.00842766509151911,0.0111068067733475,0.020800317311422,0.0265717499818457,0.0319103555006928,0.043448836138925,1.00064557309526,600
-0.0119372927709928,0.00805370350782968,-0.0298008511518032,-0.016900824024171,-0.011050660109525,-0.00644402729205773,0.00281699533435212,1.00188693676496,590
54654.0580119209,6.09727228889547,54643.9904240294,54649.6256608273,54653.3160362379,54657.8065763931,54667.7467121561,0.999912991650168,600
